ref,node_exists,sub_clauses,bridges_whole,bridges_subclause,leaves,derived_specs,must_total,must_with_guidance,should_total,should_with_guidance,prereqs_leaves,doc_mappings,workbook_mappings,fingerprints,eval_cases,posture_seeds
Art.1,Y,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Art.2,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.3,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.4,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.5,Y,8,4,39,0,9,0,0,0,0,0,0,0,0,18,9
Art.6,Y,8,3,2,4,1,18,18,5,5,4,3,1,4,9,8
Art.7,Y,4,6,2,4,0,20,20,4,4,4,3,1,1,6,5
Art.8,Y,3,1,1,4,0,18,18,4,4,4,3,1,1,6,3
Art.9,Y,7,5,2,4,0,21,21,4,4,4,3,1,4,6,8
Art.10,Y,1,4,0,4,0,18,18,4,4,4,3,1,4,5,2
Art.11,Y,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3
Art.12,Y,3,4,1,4,0,21,21,4,4,4,3,1,1,9,4
Art.13,Y,15,3,3,4,0,23,23,5,5,4,3,1,1,9,14
Art.14,Y,2,3,0,4,0,23,23,4,4,4,3,1,1,9,3
Art.15,Y,11,4,2,4,0,35,35,9,9,4,2,1,4,5,11
Art.16,Y,1,4,0,4,1,19,19,5,5,4,3,1,1,8,2
Art.17,Y,6,7,0,4,1,23,23,5,5,4,3,1,1,6,7
Art.18,Y,5,2,0,4,0,19,19,4,4,4,3,1,4,6,6
Art.19,Y,1,3,0,4,0,16,16,4,4,4,3,1,4,4,2
Art.20,Y,1,4,0,4,0,19,19,4,4,4,3,1,4,4,2
Art.21,Y,2,2,0,4,0,19,19,4,4,4,3,1,4,7,3
Art.22,Y,3,3,2,4,0,20,20,4,4,4,3,1,4,7,4
Art.23,Y,1,0,0,4,0,18,18,4,4,4,3,1,1,6,2
Art.24,Y,2,7,1,4,1,23,23,4,4,4,2,2,4,8,3
Art.25,Y,2,6,2,4,1,18,18,5,5,4,3,1,4,5,4
Art.26,Y,2,3,0,4,0,18,18,4,4,4,3,1,4,6,3
Art.27,Y,2,1,0,4,0,18,18,4,4,4,3,1,2,4,3
Art.28,Y,12,4,11,4,0,21,21,6,6,4,3,1,4,9,10
Art.29,Y,1,5,0,4,0,17,17,4,4,4,3,1,2,3,2
Art.30,Y,11,5,7,4,0,24,24,12,12,4,2,2,4,5,10
Art.31,Y,1,2,0,4,0,19,19,4,4,4,3,1,2,3,2
Art.32,Y,8,4,29,4,1,16,16,4,4,4,2,2,4,17,9
Art.33,Y,8,6,0,4,0,21,21,4,4,4,4,0,4,7,9
Art.34,Y,3,2,0,4,0,20,20,4,4,4,3,1,4,4,4
Art.35,Y,3,5,1,4,0,22,22,4,4,4,3,1,4,4,5
Art.36,Y,1,1,0,4,0,19,19,4,4,4,3,1,2,5,2
Art.37,Y,3,2,0,4,0,19,19,4,4,4,3,1,4,9,4
Art.38,Y,2,2,0,4,0,19,19,4,4,4,3,1,2,3,3
Art.39,Y,1,2,0,4,0,18,18,4,4,4,3,1,2,5,2
Art.40,Y,1,1,0,4,0,17,17,4,4,4,3,1,2,4,2
Art.41,Y,1,0,0,4,0,18,18,4,4,4,3,1,2,3,2
Art.42,Y,1,1,0,4,0,18,18,4,4,4,3,1,2,5,2
Art.43,Y,1,0,0,4,0,18,18,4,4,4,3,1,2,3,2
Art.44,Y,1,3,0,4,0,19,19,4,4,4,3,1,4,8,2
Art.45,Y,1,4,0,4,0,17,17,4,4,4,3,1,4,5,2
Art.46,Y,2,5,0,4,0,20,20,4,4,4,3,1,4,5,3
Art.47,Y,1,1,0,4,0,19,19,4,4,4,3,1,2,7,2
Art.48,Y,1,3,0,4,0,18,18,4,4,4,3,1,2,5,2
Art.49,Y,1,2,0,4,0,18,18,4,4,4,3,1,2,6,2
Art.50,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.51,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.52,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.53,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.54,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.55,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.56,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Art.57,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.58,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.59,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.60,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.61,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.62,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.63,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.64,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.65,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.66,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.67,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.68,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.69,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.70,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.71,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.72,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.73,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.74,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.75,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.76,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.77,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.78,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.79,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.80,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.81,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.82,Y,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3
Art.83,Y,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3
Art.84,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.85,Y,2,2,0,4,0,20,20,6,6,4,3,1,1,0,3
Art.86,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.87,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.88,Y,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.89,Y,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.90,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Art.91,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
