ref,title,obligation_snippet
Art.10,Processing of personal data relating to criminal convictions and offences,Processing of personal data relating to criminal convictions and offences or related security measures based on Article 6(1) shall be carried out only under the control of official authority or when t
Art.10.1,Processing of personal data relating to criminal convictions and offences — paragraph 1,Processing of personal data relating to criminal convictions and offences or related security measures based on Article 6(1) shall be carried out only under the control of official authority or when t
Art.11,Processing which does not require identification,"If the purposes for which a controller processes personal data do not or do no longer require the identification of a data subject by the controller, the controller shall not be obliged to maintain, a"
Art.11.1,Processing which does not require identification — paragraph 1,"If the purposes for which a controller processes personal data do not or do no longer require the identification of a data subject by the controller, the controller shall not be obliged to maintain, a"
Art.11.2,Processing which does not require identification — paragraph 2,"Where the controller is able to demonstrate that it is not in a position to identify the data subject, the controller shall inform the data subject accordingly, if possible. In such cases, Articles 15"
Art.12.1,"Transparent information, communication and modalities for the exercise of the rights of the data subject — paragraph 1",The controller shall take appropriate measures to provide any information referred to in Articles 13 and 14 and any communication under Articles 15 to 22 and 34 relating to processing to the data subj
Art.12.6,"Transparent information, communication and modalities for the exercise of the rights of the data subject — paragraph 6","Where the controller has reasonable doubts concerning the identity of the natural person making the request, the controller may request the provision of additional information necessary to confirm the"
Art.13.1,Information to be provided where personal data are collected from the data subject — paragraph 1,"Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with all of the followin"
Art.13.1.a,Information to be provided where personal data are collected from the data subject — 1(a),the identity and the contact details of the controller;
Art.13.1.b,Information to be provided where personal data are collected from the data subject — 1(b),"the contact details of the data protection officer, where applicable;"
Art.13.1.c,Information to be provided where personal data are collected from the data subject — 1(c),the purposes of the processing and the legal basis;
Art.13.1.d,Information to be provided where personal data are collected from the data subject — 1(d),"where processing is based on Art.6(1)(f), the legitimate interests pursued;"
Art.13.1.e,Information to be provided where personal data are collected from the data subject — 1(e),the recipients or categories of recipients;
Art.13.1.f,Information to be provided where personal data are collected from the data subject — 1(f),"where applicable, that the controller intends to transfer personal data to a third country."
Art.23,Restrictions,"Union or Member State law may restrict by way of a legislative measure the scope of the obligations and rights provided for in Articles 12 to 22 and Article 34, as well as Article 5, when such a restr"
Art.23.1,Restrictions — paragraph 1,"Union or Member State law may restrict by way of a legislative measure the scope of the obligations and rights provided for in Articles 12 to 22 and Article 34, as well as Article 5, when such a restr"
Art.26.2,Joint controllers — paragraph 2,The arrangement referred to in paragraph 1 shall duly reflect the respective roles and relationships of the joint controllers vis-à-vis the data subjects. The essence of the arrangement shall be made 
Art.27.4,Representatives of controllers or processors not established in the Union — paragraph 4,The representative shall be mandated by the controller or processor to be addressed in addition to or instead of the controller or the processor by supervisory authorities and data subjects on all iss
Art.28.3,Processor — paragraph 3,"Processing by a processor shall be governed by a contract or other legal act, binding on the processor with regard to the controller. (a) processes the personal data only on documented instructions fr"
Art.28.3.a,Processor — 3(a),"Processing by a processor shall be governed by a contract or other legal act, binding on the processor with regard to the controller. (a) processes the personal data only on documented instructions fr"
Art.28.3.b,Processor — 3(b),"Processing by a processor shall be governed by a contract or other legal act, binding on the processor with regard to the controller. (b) ensures that persons authorised to process the personal data h"
Art.28.3.c,Processor — 3(c),"Processing by a processor shall be governed by a contract or other legal act, binding on the processor with regard to the controller. (c) takes all measures required pursuant to Article 32;"
Art.28.3.f,Processor — 3(f),"Processing by a processor shall be governed by a contract or other legal act, binding on the processor with regard to the controller. (f) assists the controller in ensuring compliance with Articles 32"
